Planning Area,Subzone,Age Group,Floor Area,2024
Tanglin,Tyersall,60 - 64,> 120,230
Tanglin,Tyersall,65 - 69,Total*,240
Tanglin,Tyersall,65 - 69,≤ 60,-
Tanglin,Tyersall,65 - 69,> 60 - 80,-
Tanglin,Tyersall,65 - 69,> 80 - 100,20
Tanglin,Tyersall,65 - 69,> 100 - 120,10
Tanglin,Tyersall,65 - 69,> 120,200
Tanglin,Tyersall,70 - 74,Total*,190
Tanglin,Tyersall,70 - 74,≤ 60,-
Tanglin,Tyersall,70 - 74,> 60 - 80,10
Tanglin,Tyersall,70 - 74,> 80 - 100,10
Tanglin,Tyersall,70 - 74,> 100 - 120,10
Tanglin,Tyersall,70 - 74,> 120,160
Tanglin,Tyersall,75 - 79,Total*,140
Tanglin,Tyersall,75 - 79,≤ 60,-
Tanglin,Tyersall,75 - 79,> 60 - 80,10
Tanglin,Tyersall,75 - 79,> 80 - 100,10
Tanglin,Tyersall,75 - 79,> 100 - 120,10
Tanglin,Tyersall,75 - 79,> 120,110
Tanglin,Tyersall,80 - 84,Total*,100
Tanglin,Tyersall,80 - 84,≤ 60,-
Tanglin,Tyersall,80 - 84,> 60 - 80,-
Tanglin,Tyersall,80 - 84,> 80 - 100,10
Tanglin,Tyersall,80 - 84,> 100 - 120,10
Tanglin,Tyersall,80 - 84,> 120,70
Tanglin,Tyersall,85 - 89,Total*,60
Tanglin,Tyersall,85 - 89,≤ 60,-
Tanglin,Tyersall,85 - 89,> 60 - 80,-
Tanglin,Tyersall,85 - 89,> 80 - 100,10
Tanglin,Tyersall,85 - 89,> 100 - 120,10
Tanglin,Tyersall,85 - 89,> 120,50
Tanglin,Tyersall,90 & Over,Total*,30
Tanglin,Tyersall,90 & Over,≤ 60,-
Tanglin,Tyersall,90 & Over,> 60 - 80,-
Tanglin,Tyersall,90 & Over,> 80 - 100,-
Tanglin,Tyersall,90 & Over,> 100 - 120,-
Tanglin,Tyersall,90 & Over,> 120,30
Tengah,Total,Total,Total*,7980
Tengah,Total,Total,≤ 60,1670
Tengah,Total,Total,> 60 - 80,760
Tengah,Total,Total,> 80 - 100,2950
Tengah,Total,Total,> 100 - 120,2590
Tengah,Total,Total,> 120,-
Tengah,Total,0 - 4,Total*,850
Tengah,Total,0 - 4,≤ 60,20
Tengah,Total,0 - 4,> 60 - 80,60
Tengah,Total,0 - 4,> 80 - 100,440
Tengah,Total,0 - 4,> 100 - 120,320
Tengah,Total,0 - 4,> 120,-
Tengah,Total,5 - 9,Total*,320
Tengah,Total,5 - 9,≤ 60,10
Tengah,Total,5 - 9,> 60 - 80,50
Tengah,Total,5 - 9,> 80 - 100,130
Tengah,Total,5 - 9,> 100 - 120,130
Tengah,Total,5 - 9,> 120,-
Tengah,Total,10 - 14,Total*,280
Tengah,Total,10 - 14,≤ 60,10
Tengah,Total,10 - 14,> 60 - 80,30
Tengah,Total,10 - 14,> 80 - 100,90
Tengah,Total,10 - 14,> 100 - 120,150
Tengah,Total,10 - 14,> 120,-
Tengah,Total,15 - 19,Total*,250
Tengah,Total,15 - 19,≤ 60,20
Tengah,Total,15 - 19,> 60 - 80,20
Tengah,Total,15 - 19,> 80 - 100,90
Tengah,Total,15 - 19,> 100 - 120,120
Tengah,Total,15 - 19,> 120,-
Tengah,Total,20 - 24,Total*,190
Tengah,Total,20 - 24,≤ 60,10
Tengah,Total,20 - 24,> 60 - 80,30
Tengah,Total,20 - 24,> 80 - 100,60
Tengah,Total,20 - 24,> 100 - 120,80
Tengah,Total,20 - 24,> 120,-
Tengah,Total,25 - 29,Total*,890
Tengah,Total,25 - 29,≤ 60,20
Tengah,Total,25 - 29,> 60 - 80,90
Tengah,Total,25 - 29,> 80 - 100,510
Tengah,Total,25 - 29,> 100 - 120,280
Tengah,Total,25 - 29,> 120,-
Tengah,Total,30 - 34,Total*,1680
Tengah,Total,30 - 34,≤ 60,30
Tengah,Total,30 - 34,> 60 - 80,110
Tengah,Total,30 - 34,> 80 - 100,860
Tengah,Total,30 - 34,> 100 - 120,670
Tengah,Total,30 - 34,> 120,-
Tengah,Total,35 - 39,Total*,850
Tengah,Total,35 - 39,≤ 60,220
Tengah,Total,35 - 39,> 60 - 80,60
Tengah,Total,35 - 39,> 80 - 100,300
Tengah,Total,35 - 39,> 100 - 120,280
Tengah,Total,35 - 39,> 120,-
Tengah,Total,40 - 44,Total*,660
Tengah,Total,40 - 44,≤ 60,300
Tengah,Total,40 - 44,> 60 - 80,50
Tengah,Total,40 - 44,> 80 - 100,130
Tengah,Total,40 - 44,> 100 - 120,180
Tengah,Total,40 - 44,> 120,-
Tengah,Total,45 - 49,Total*,410
Tengah,Total,45 - 49,≤ 60,130
Tengah,Total,45 - 49,> 60 - 80,40
Tengah,Total,45 - 49,> 80 - 100,110
Tengah,Total,45 - 49,> 100 - 120,130
Tengah,Total,45 - 49,> 120,-
Tengah,Total,50 - 54,Total*,370
Tengah,Total,50 - 54,≤ 60,120
Tengah,Total,50 - 54,> 60 - 80,40
Tengah,Total,50 - 54,> 80 - 100,90
Tengah,Total,50 - 54,> 100 - 120,110
Tengah,Total,50 - 54,> 120,-
Tengah,Total,55 - 59,Total*,300
Tengah,Total,55 - 59,≤ 60,160
Tengah,Total,55 - 59,> 60 - 80,30
Tengah,Total,55 - 59,> 80 - 100,50
Tengah,Total,55 - 59,> 100 - 120,50
Tengah,Total,55 - 59,> 120,-
Tengah,Total,60 - 64,Total*,300
Tengah,Total,60 - 64,≤ 60,190
Tengah,Total,60 - 64,> 60 - 80,60
Tengah,Total,60 - 64,> 80 - 100,30
Tengah,Total,60 - 64,> 100 - 120,30
Tengah,Total,60 - 64,> 120,-
Tengah,Total,65 - 69,Total*,310
Tengah,Total,65 - 69,≤ 60,220
Tengah,Total,65 - 69,> 60 - 80,60
Tengah,Total,65 - 69,> 80 - 100,20
Tengah,Total,65 - 69,> 100 - 120,20
Tengah,Total,65 - 69,> 120,-
Tengah,Total,70 - 74,Total*,190
Tengah,Total,70 - 74,≤ 60,120
Tengah,Total,70 - 74,> 60 - 80,30
Tengah,Total,70 - 74,> 80 - 100,20
Tengah,Total,70 - 74,> 100 - 120,20
Tengah,Total,70 - 74,> 120,-
Tengah,Total,75 - 79,Total*,80
Tengah,Total,75 - 79,≤ 60,60
Tengah,Total,75 - 79,> 60 - 80,10
Tengah,Total,75 - 79,> 80 - 100,10
Tengah,Total,75 - 79,> 100 - 120,10
Tengah,Total,75 - 79,> 120,-
Tengah,Total,80 - 84,Total*,30
Tengah,Total,80 - 84,≤ 60,20
Tengah,Total,80 - 84,> 60 - 80,-
Tengah,Total,80 - 84,> 80 - 100,10
Tengah,Total,80 - 84,> 100 - 120,10
Tengah,Total,80 - 84,> 120,-
Tengah,Total,85 - 89,Total*,30
Tengah,Total,85 - 89,≤ 60,10
Tengah,Total,85 - 89,> 60 - 80,-
Tengah,Total,85 - 89,> 80 - 100,-
Tengah,Total,85 - 89,> 100 - 120,10
Tengah,Total,85 - 89,> 120,-
Tengah,Total,90 & Over,Total*,10
Tengah,Total,90 & Over,≤ 60,-
Tengah,Total,90 & Over,> 60 - 80,-
Tengah,Total,90 & Over,> 80 - 100,-
Tengah,Total,90 & Over,> 100 - 120,-
Tengah,Total,90 & Over,> 120,-
Tengah,Brickland,Total,Total*,-
Tengah,Brickland,Total,≤ 60,-
Tengah,Brickland,Total,> 60 - 80,-
Tengah,Brickland,Total,> 80 - 100,-
Tengah,Brickland,Total,> 100 - 120,-
Tengah,Brickland,Total,> 120,-
Tengah,Brickland,0 - 4,Total*,-
Tengah,Brickland,0 - 4,≤ 60,-
Tengah,Brickland,0 - 4,> 60 - 80,-
Tengah,Brickland,0 - 4,> 80 - 100,-
Tengah,Brickland,0 - 4,> 100 - 120,-
Tengah,Brickland,0 - 4,> 120,-
Tengah,Brickland,5 - 9,Total*,-
Tengah,Brickland,5 - 9,≤ 60,-
Tengah,Brickland,5 - 9,> 60 - 80,-
Tengah,Brickland,5 - 9,> 80 - 100,-
Tengah,Brickland,5 - 9,> 100 - 120,-
Tengah,Brickland,5 - 9,> 120,-
Tengah,Brickland,10 - 14,Total*,-
Tengah,Brickland,10 - 14,≤ 60,-
Tengah,Brickland,10 - 14,> 60 - 80,-
Tengah,Brickland,10 - 14,> 80 - 100,-
Tengah,Brickland,10 - 14,> 100 - 120,-
Tengah,Brickland,10 - 14,> 120,-
Tengah,Brickland,15 - 19,Total*,-
Tengah,Brickland,15 - 19,≤ 60,-
Tengah,Brickland,15 - 19,> 60 - 80,-
Tengah,Brickland,15 - 19,> 80 - 100,-
Tengah,Brickland,15 - 19,> 100 - 120,-
Tengah,Brickland,15 - 19,> 120,-
Tengah,Brickland,20 - 24,Total*,-
Tengah,Brickland,20 - 24,≤ 60,-
Tengah,Brickland,20 - 24,> 60 - 80,-
Tengah,Brickland,20 - 24,> 80 - 100,-
Tengah,Brickland,20 - 24,> 100 - 120,-
Tengah,Brickland,20 - 24,> 120,-
Tengah,Brickland,25 - 29,Total*,-
Tengah,Brickland,25 - 29,≤ 60,-
Tengah,Brickland,25 - 29,> 60 - 80,-
Tengah,Brickland,25 - 29,> 80 - 100,-
Tengah,Brickland,25 - 29,> 100 - 120,-
Tengah,Brickland,25 - 29,> 120,-
Tengah,Brickland,30 - 34,Total*,-
Tengah,Brickland,30 - 34,≤ 60,-
Tengah,Brickland,30 - 34,> 60 - 80,-
Tengah,Brickland,30 - 34,> 80 - 100,-
Tengah,Brickland,30 - 34,> 100 - 120,-
Tengah,Brickland,30 - 34,> 120,-
Tengah,Brickland,35 - 39,Total*,-
Tengah,Brickland,35 - 39,≤ 60,-
Tengah,Brickland,35 - 39,> 60 - 80,-
Tengah,Brickland,35 - 39,> 80 - 100,-
Tengah,Brickland,35 - 39,> 100 - 120,-
Tengah,Brickland,35 - 39,> 120,-
Tengah,Brickland,40 - 44,Total*,-
Tengah,Brickland,40 - 44,≤ 60,-
Tengah,Brickland,40 - 44,> 60 - 80,-
Tengah,Brickland,40 - 44,> 80 - 100,-
Tengah,Brickland,40 - 44,> 100 - 120,-
Tengah,Brickland,40 - 44,> 120,-
Tengah,Brickland,45 - 49,Total*,-
Tengah,Brickland,45 - 49,≤ 60,-
Tengah,Brickland,45 - 49,> 60 - 80,-
Tengah,Brickland,45 - 49,> 80 - 100,-
Tengah,Brickland,45 - 49,> 100 - 120,-
Tengah,Brickland,45 - 49,> 120,-
Tengah,Brickland,50 - 54,Total*,-
Tengah,Brickland,50 - 54,≤ 60,-
Tengah,Brickland,50 - 54,> 60 - 80,-
Tengah,Brickland,50 - 54,> 80 - 100,-
Tengah,Brickland,50 - 54,> 100 - 120,-
Tengah,Brickland,50 - 54,> 120,-
Tengah,Brickland,55 - 59,Total*,-
Tengah,Brickland,55 - 59,≤ 60,-
Tengah,Brickland,55 - 59,> 60 - 80,-
Tengah,Brickland,55 - 59,> 80 - 100,-
Tengah,Brickland,55 - 59,> 100 - 120,-
Tengah,Brickland,55 - 59,> 120,-
Tengah,Brickland,60 - 64,Total*,-
Tengah,Brickland,60 - 64,≤ 60,-
Tengah,Brickland,60 - 64,> 60 - 80,-
Tengah,Brickland,60 - 64,> 80 - 100,-
Tengah,Brickland,60 - 64,> 100 - 120,-
Tengah,Brickland,60 - 64,> 120,-
Tengah,Brickland,65 - 69,Total*,-
Tengah,Brickland,65 - 69,≤ 60,-
Tengah,Brickland,65 - 69,> 60 - 80,-
Tengah,Brickland,65 - 69,> 80 - 100,-
Tengah,Brickland,65 - 69,> 100 - 120,-
Tengah,Brickland,65 - 69,> 120,-
Tengah,Brickland,70 - 74,Total*,-
Tengah,Brickland,70 - 74,≤ 60,-
Tengah,Brickland,70 - 74,> 60 - 80,-
Tengah,Brickland,70 - 74,> 80 - 100,-
Tengah,Brickland,70 - 74,> 100 - 120,-
Tengah,Brickland,70 - 74,> 120,-
Tengah,Brickland,75 - 79,Total*,-
Tengah,Brickland,75 - 79,≤ 60,-
Tengah,Brickland,75 - 79,> 60 - 80,-
Tengah,Brickland,75 - 79,> 80 - 100,-
Tengah,Brickland,75 - 79,> 100 - 120,-
Tengah,Brickland,75 - 79,> 120,-
Tengah,Brickland,80 - 84,Total*,-
Tengah,Brickland,80 - 84,≤ 60,-
Tengah,Brickland,80 - 84,> 60 - 80,-
Tengah,Brickland,80 - 84,> 80 - 100,-
Tengah,Brickland,80 - 84,> 100 - 120,-
Tengah,Brickland,80 - 84,> 120,-
Tengah,Brickland,85 - 89,Total*,-
Tengah,Brickland,85 - 89,≤ 60,-
Tengah,Brickland,85 - 89,> 60 - 80,-
Tengah,Brickland,85 - 89,> 80 - 100,-
Tengah,Brickland,85 - 89,> 100 - 120,-
Tengah,Brickland,85 - 89,> 120,-
Tengah,Brickland,90 & Over,Total*,-
Tengah,Brickland,90 & Over,≤ 60,-
Tengah,Brickland,90 & Over,> 60 - 80,-
Tengah,Brickland,90 & Over,> 80 - 100,-
Tengah,Brickland,90 & Over,> 100 - 120,-
Tengah,Brickland,90 & Over,> 120,-
Tengah,Forest Hill,Total,Total*,-
Tengah,Forest Hill,Total,≤ 60,-
Tengah,Forest Hill,Total,> 60 - 80,-
Tengah,Forest Hill,Total,> 80 - 100,-
Tengah,Forest Hill,Total,> 100 - 120,-
Tengah,Forest Hill,Total,> 120,-
Tengah,Forest Hill,0 - 4,Total*,-
Tengah,Forest Hill,0 - 4,≤ 60,-
Tengah,Forest Hill,0 - 4,> 60 - 80,-
Tengah,Forest Hill,0 - 4,> 80 - 100,-
Tengah,Forest Hill,0 - 4,> 100 - 120,-
Tengah,Forest Hill,0 - 4,> 120,-
Tengah,Forest Hill,5 - 9,Total*,-
Tengah,Forest Hill,5 - 9,≤ 60,-
Tengah,Forest Hill,5 - 9,> 60 - 80,-
Tengah,Forest Hill,5 - 9,> 80 - 100,-
Tengah,Forest Hill,5 - 9,> 100 - 120,-
Tengah,Forest Hill,5 - 9,> 120,-
Tengah,Forest Hill,10 - 14,Total*,-
Tengah,Forest Hill,10 - 14,≤ 60,-
Tengah,Forest Hill,10 - 14,> 60 - 80,-
Tengah,Forest Hill,10 - 14,> 80 - 100,-
Tengah,Forest Hill,10 - 14,> 100 - 120,-
Tengah,Forest Hill,10 - 14,> 120,-
Tengah,Forest Hill,15 - 19,Total*,-
Tengah,Forest Hill,15 - 19,≤ 60,-
Tengah,Forest Hill,15 - 19,> 60 - 80,-
Tengah,Forest Hill,15 - 19,> 80 - 100,-
Tengah,Forest Hill,15 - 19,> 100 - 120,-
Tengah,Forest Hill,15 - 19,> 120,-
Tengah,Forest Hill,20 - 24,Total*,-
Tengah,Forest Hill,20 - 24,≤ 60,-
Tengah,Forest Hill,20 - 24,> 60 - 80,-
Tengah,Forest Hill,20 - 24,> 80 - 100,-
Tengah,Forest Hill,20 - 24,> 100 - 120,-
Tengah,Forest Hill,20 - 24,> 120,-
Tengah,Forest Hill,25 - 29,Total*,-
Tengah,Forest Hill,25 - 29,≤ 60,-
Tengah,Forest Hill,25 - 29,> 60 - 80,-
Tengah,Forest Hill,25 - 29,> 80 - 100,-
Tengah,Forest Hill,25 - 29,> 100 - 120,-
Tengah,Forest Hill,25 - 29,> 120,-
Tengah,Forest Hill,30 - 34,Total*,-
Tengah,Forest Hill,30 - 34,≤ 60,-
Tengah,Forest Hill,30 - 34,> 60 - 80,-
Tengah,Forest Hill,30 - 34,> 80 - 100,-
Tengah,Forest Hill,30 - 34,> 100 - 120,-
Tengah,Forest Hill,30 - 34,> 120,-
Tengah,Forest Hill,35 - 39,Total*,-
Tengah,Forest Hill,35 - 39,≤ 60,-
Tengah,Forest Hill,35 - 39,> 60 - 80,-
Tengah,Forest Hill,35 - 39,> 80 - 100,-
Tengah,Forest Hill,35 - 39,> 100 - 120,-
Tengah,Forest Hill,35 - 39,> 120,-
Tengah,Forest Hill,40 - 44,Total*,-
Tengah,Forest Hill,40 - 44,≤ 60,-
Tengah,Forest Hill,40 - 44,> 60 - 80,-
Tengah,Forest Hill,40 - 44,> 80 - 100,-
Tengah,Forest Hill,40 - 44,> 100 - 120,-
Tengah,Forest Hill,40 - 44,> 120,-
Tengah,Forest Hill,45 - 49,Total*,-
Tengah,Forest Hill,45 - 49,≤ 60,-
Tengah,Forest Hill,45 - 49,> 60 - 80,-
Tengah,Forest Hill,45 - 49,> 80 - 100,-
Tengah,Forest Hill,45 - 49,> 100 - 120,-
Tengah,Forest Hill,45 - 49,> 120,-
Tengah,Forest Hill,50 - 54,Total*,-
Tengah,Forest Hill,50 - 54,≤ 60,-
Tengah,Forest Hill,50 - 54,> 60 - 80,-
Tengah,Forest Hill,50 - 54,> 80 - 100,-
Tengah,Forest Hill,50 - 54,> 100 - 120,-
Tengah,Forest Hill,50 - 54,> 120,-
Tengah,Forest Hill,55 - 59,Total*,-
Tengah,Forest Hill,55 - 59,≤ 60,-
Tengah,Forest Hill,55 - 59,> 60 - 80,-
Tengah,Forest Hill,55 - 59,> 80 - 100,-
Tengah,Forest Hill,55 - 59,> 100 - 120,-
Tengah,Forest Hill,55 - 59,> 120,-
Tengah,Forest Hill,60 - 64,Total*,-
Tengah,Forest Hill,60 - 64,≤ 60,-
Tengah,Forest Hill,60 - 64,> 60 - 80,-
Tengah,Forest Hill,60 - 64,> 80 - 100,-
Tengah,Forest Hill,60 - 64,> 100 - 120,-
Tengah,Forest Hill,60 - 64,> 120,-
Tengah,Forest Hill,65 - 69,Total*,-
Tengah,Forest Hill,65 - 69,≤ 60,-
Tengah,Forest Hill,65 - 69,> 60 - 80,-
Tengah,Forest Hill,65 - 69,> 80 - 100,-
Tengah,Forest Hill,65 - 69,> 100 - 120,-
Tengah,Forest Hill,65 - 69,> 120,-
Tengah,Forest Hill,70 - 74,Total*,-
Tengah,Forest Hill,70 - 74,≤ 60,-
Tengah,Forest Hill,70 - 74,> 60 - 80,-
Tengah,Forest Hill,70 - 74,> 80 - 100,-
Tengah,Forest Hill,70 - 74,> 100 - 120,-
Tengah,Forest Hill,70 - 74,> 120,-
Tengah,Forest Hill,75 - 79,Total*,-
Tengah,Forest Hill,75 - 79,≤ 60,-
Tengah,Forest Hill,75 - 79,> 60 - 80,-
Tengah,Forest Hill,75 - 79,> 80 - 100,-
Tengah,Forest Hill,75 - 79,> 100 - 120,-
Tengah,Forest Hill,75 - 79,> 120,-
Tengah,Forest Hill,80 - 84,Total*,-
Tengah,Forest Hill,80 - 84,≤ 60,-
Tengah,Forest Hill,80 - 84,> 60 - 80,-
Tengah,Forest Hill,80 - 84,> 80 - 100,-
Tengah,Forest Hill,80 - 84,> 100 - 120,-
Tengah,Forest Hill,80 - 84,> 120,-
Tengah,Forest Hill,85 - 89,Total*,-
Tengah,Forest Hill,85 - 89,≤ 60,-
Tengah,Forest Hill,85 - 89,> 60 - 80,-
Tengah,Forest Hill,85 - 89,> 80 - 100,-
Tengah,Forest Hill,85 - 89,> 100 - 120,-
Tengah,Forest Hill,85 - 89,> 120,-
Tengah,Forest Hill,90 & Over,Total*,-
Tengah,Forest Hill,90 & Over,≤ 60,-
Tengah,Forest Hill,90 & Over,> 60 - 80,-
Tengah,Forest Hill,90 & Over,> 80 - 100,-
Tengah,Forest Hill,90 & Over,> 100 - 120,-
Tengah,Forest Hill,90 & Over,> 120,-
Tengah,Garden,Total,Total*,280
Tengah,Garden,Total,≤ 60,130
Tengah,Garden,Total,> 60 - 80,80
Tengah,Garden,Total,> 80 - 100,50
Tengah,Garden,Total,> 100 - 120,20
Tengah,Garden,Total,> 120,-
Tengah,Garden,0 - 4,Total*,20
Tengah,Garden,0 - 4,≤ 60,-
Tengah,Garden,0 - 4,> 60 - 80,10
Tengah,Garden,0 - 4,> 80 - 100,10
Tengah,Garden,0 - 4,> 100 - 120,-
Tengah,Garden,0 - 4,> 120,-
Tengah,Garden,5 - 9,Total*,10
Tengah,Garden,5 - 9,≤ 60,-
Tengah,Garden,5 - 9,> 60 - 80,-
Tengah,Garden,5 - 9,> 80 - 100,-
Tengah,Garden,5 - 9,> 100 - 120,-
Tengah,Garden,5 - 9,> 120,-
Tengah,Garden,10 - 14,Total*,-
Tengah,Garden,10 - 14,≤ 60,-
Tengah,Garden,10 - 14,> 60 - 80,-
Tengah,Garden,10 - 14,> 80 - 100,-
Tengah,Garden,10 - 14,> 100 - 120,-
Tengah,Garden,10 - 14,> 120,-
Tengah,Garden,15 - 19,Total*,-
Tengah,Garden,15 - 19,≤ 60,-
Tengah,Garden,15 - 19,> 60 - 80,-
Tengah,Garden,15 - 19,> 80 - 100,-
Tengah,Garden,15 - 19,> 100 - 120,-
Tengah,Garden,15 - 19,> 120,-
Tengah,Garden,20 - 24,Total*,-
Tengah,Garden,20 - 24,≤ 60,-
Tengah,Garden,20 - 24,> 60 - 80,-
Tengah,Garden,20 - 24,> 80 - 100,-
Tengah,Garden,20 - 24,> 100 - 120,-
Tengah,Garden,20 - 24,> 120,-
Tengah,Garden,25 - 29,Total*,30
Tengah,Garden,25 - 29,≤ 60,-
Tengah,Garden,25 - 29,> 60 - 80,10
Tengah,Garden,25 - 29,> 80 - 100,10
Tengah,Garden,25 - 29,> 100 - 120,-
Tengah,Garden,25 - 29,> 120,-
Tengah,Garden,30 - 34,Total*,60
Tengah,Garden,30 - 34,≤ 60,-
Tengah,Garden,30 - 34,> 60 - 80,30
Tengah,Garden,30 - 34,> 80 - 100,20
Tengah,Garden,30 - 34,> 100 - 120,10
Tengah,Garden,30 - 34,> 120,-
Tengah,Garden,35 - 39,Total*,40
Tengah,Garden,35 - 39,≤ 60,30
Tengah,Garden,35 - 39,> 60 - 80,-
Tengah,Garden,35 - 39,> 80 - 100,10
Tengah,Garden,35 - 39,> 100 - 120,-
Tengah,Garden,35 - 39,> 120,-
Tengah,Garden,40 - 44,Total*,30
Tengah,Garden,40 - 44,≤ 60,30
Tengah,Garden,40 - 44,> 60 - 80,-
Tengah,Garden,40 - 44,> 80 - 100,-
Tengah,Garden,40 - 44,> 100 - 120,-
Tengah,Garden,40 - 44,> 120,-
Tengah,Garden,45 - 49,Total*,10
Tengah,Garden,45 - 49,≤ 60,10
Tengah,Garden,45 - 49,> 60 - 80,-
Tengah,Garden,45 - 49,> 80 - 100,-
Tengah,Garden,45 - 49,> 100 - 120,-
Tengah,Garden,45 - 49,> 120,-
Tengah,Garden,50 - 54,Total*,10
Tengah,Garden,50 - 54,≤ 60,10
Tengah,Garden,50 - 54,> 60 - 80,-
Tengah,Garden,50 - 54,> 80 - 100,-
Tengah,Garden,50 - 54,> 100 - 120,-
Tengah,Garden,50 - 54,> 120,-
Tengah,Garden,55 - 59,Total*,20
Tengah,Garden,55 - 59,≤ 60,20
Tengah,Garden,55 - 59,> 60 - 80,-
Tengah,Garden,55 - 59,> 80 - 100,-
Tengah,Garden,55 - 59,> 100 - 120,-
Tengah,Garden,55 - 59,> 120,-
Tengah,Garden,60 - 64,Total*,10
Tengah,Garden,60 - 64,≤ 60,10
Tengah,Garden,60 - 64,> 60 - 80,10
Tengah,Garden,60 - 64,> 80 - 100,-
Tengah,Garden,60 - 64,> 100 - 120,-
Tengah,Garden,60 - 64,> 120,-
Tengah,Garden,65 - 69,Total*,20
Tengah,Garden,65 - 69,≤ 60,10
Tengah,Garden,65 - 69,> 60 - 80,-
Tengah,Garden,65 - 69,> 80 - 100,-
Tengah,Garden,65 - 69,> 100 - 120,-
Tengah,Garden,65 - 69,> 120,-
Tengah,Garden,70 - 74,Total*,10
Tengah,Garden,70 - 74,≤ 60,-
Tengah,Garden,70 - 74,> 60 - 80,-
Tengah,Garden,70 - 74,> 80 - 100,-
Tengah,Garden,70 - 74,> 100 - 120,-
Tengah,Garden,70 - 74,> 120,-
Tengah,Garden,75 - 79,Total*,-
Tengah,Garden,75 - 79,≤ 60,-
Tengah,Garden,75 - 79,> 60 - 80,-
Tengah,Garden,75 - 79,> 80 - 100,-
Tengah,Garden,75 - 79,> 100 - 120,-
Tengah,Garden,75 - 79,> 120,-
Tengah,Garden,80 - 84,Total*,-
Tengah,Garden,80 - 84,≤ 60,-
Tengah,Garden,80 - 84,> 60 - 80,-
Tengah,Garden,80 - 84,> 80 - 100,-
Tengah,Garden,80 - 84,> 100 - 120,-
Tengah,Garden,80 - 84,> 120,-
Tengah,Garden,85 - 89,Total*,-
Tengah,Garden,85 - 89,≤ 60,-
Tengah,Garden,85 - 89,> 60 - 80,-
Tengah,Garden,85 - 89,> 80 - 100,-
Tengah,Garden,85 - 89,> 100 - 120,-
Tengah,Garden,85 - 89,> 120,-
Tengah,Garden,90 & Over,Total*,-
Tengah,Garden,90 & Over,≤ 60,-
Tengah,Garden,90 & Over,> 60 - 80,-
Tengah,Garden,90 & Over,> 80 - 100,-
Tengah,Garden,90 & Over,> 100 - 120,-
Tengah,Garden,90 & Over,> 120,-
Tengah,Park,Total,Total*,-
Tengah,Park,Total,≤ 60,-
Tengah,Park,Total,> 60 - 80,-
Tengah,Park,Total,> 80 - 100,-
Tengah,Park,Total,> 100 - 120,-
Tengah,Park,Total,> 120,-
Tengah,Park,0 - 4,Total*,-
Tengah,Park,0 - 4,≤ 60,-
Tengah,Park,0 - 4,> 60 - 80,-
Tengah,Park,0 - 4,> 80 - 100,-
Tengah,Park,0 - 4,> 100 - 120,-
Tengah,Park,0 - 4,> 120,-
Tengah,Park,5 - 9,Total*,-
Tengah,Park,5 - 9,≤ 60,-
Tengah,Park,5 - 9,> 60 - 80,-
Tengah,Park,5 - 9,> 80 - 100,-
Tengah,Park,5 - 9,> 100 - 120,-
Tengah,Park,5 - 9,> 120,-
Tengah,Park,10 - 14,Total*,-
Tengah,Park,10 - 14,≤ 60,-
Tengah,Park,10 - 14,> 60 - 80,-
Tengah,Park,10 - 14,> 80 - 100,-
Tengah,Park,10 - 14,> 100 - 120,-
Tengah,Park,10 - 14,> 120,-
Tengah,Park,15 - 19,Total*,-
Tengah,Park,15 - 19,≤ 60,-
Tengah,Park,15 - 19,> 60 - 80,-
Tengah,Park,15 - 19,> 80 - 100,-
Tengah,Park,15 - 19,> 100 - 120,-
Tengah,Park,15 - 19,> 120,-
Tengah,Park,20 - 24,Total*,-
Tengah,Park,20 - 24,≤ 60,-
Tengah,Park,20 - 24,> 60 - 80,-
Tengah,Park,20 - 24,> 80 - 100,-
Tengah,Park,20 - 24,> 100 - 120,-
Tengah,Park,20 - 24,> 120,-
Tengah,Park,25 - 29,Total*,-
Tengah,Park,25 - 29,≤ 60,-
Tengah,Park,25 - 29,> 60 - 80,-
Tengah,Park,25 - 29,> 80 - 100,-
Tengah,Park,25 - 29,> 100 - 120,-
Tengah,Park,25 - 29,> 120,-
Tengah,Park,30 - 34,Total*,-
Tengah,Park,30 - 34,≤ 60,-
Tengah,Park,30 - 34,> 60 - 80,-
Tengah,Park,30 - 34,> 80 - 100,-
Tengah,Park,30 - 34,> 100 - 120,-
Tengah,Park,30 - 34,> 120,-
Tengah,Park,35 - 39,Total*,-
Tengah,Park,35 - 39,≤ 60,-
Tengah,Park,35 - 39,> 60 - 80,-
Tengah,Park,35 - 39,> 80 - 100,-
Tengah,Park,35 - 39,> 100 - 120,-
Tengah,Park,35 - 39,> 120,-
Tengah,Park,40 - 44,Total*,-
Tengah,Park,40 - 44,≤ 60,-
Tengah,Park,40 - 44,> 60 - 80,-
Tengah,Park,40 - 44,> 80 - 100,-
Tengah,Park,40 - 44,> 100 - 120,-
Tengah,Park,40 - 44,> 120,-
Tengah,Park,45 - 49,Total*,-
Tengah,Park,45 - 49,≤ 60,-
Tengah,Park,45 - 49,> 60 - 80,-
Tengah,Park,45 - 49,> 80 - 100,-
Tengah,Park,45 - 49,> 100 - 120,-
Tengah,Park,45 - 49,> 120,-
Tengah,Park,50 - 54,Total*,-
Tengah,Park,50 - 54,≤ 60,-
