Planning Area,Subzone,Age Group,Type of Dwelling,2024
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Condominiums and Other Apartments,2070
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Others,30
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,130
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total HDB^,70
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,5-Room and Executive Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Condominiums and Other Apartments,60
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,230
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total HDB^,90
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,5-Room and Executive Flats,60
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Condominiums and Other Apartments,140
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,280
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total HDB^,140
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Condominiums and Other Apartments,150
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total,290
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total HDB^,140
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Condominiums and Other Apartments,150
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total,270
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total HDB^,120
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Condominiums and Other Apartments,150
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total,290
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total HDB^,150
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,5-Room and Executive Flats,110
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Condominiums and Other Apartments,140
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total,270
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total HDB^,170
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,5-Room and Executive Flats,100
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Condominiums and Other Apartments,100
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total,300
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total HDB^,180
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,4-Room Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,5-Room and Executive Flats,100
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Condominiums and Other Apartments,120
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total,420
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total HDB^,200
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,4-Room Flats,50
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Condominiums and Other Apartments,220
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Others,10
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total,410
